row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude
R007-S013,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚7.5cm【85D软硬适中】A类抑菌面料,1649.85,2295.0,秒杀价,7.5,厚7.5cm,False,False,同商品SKU名+价格重复（空白归一）
R007-S014,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚7.5cm【95D护脊撑腰】A类抑菌面料,1761.2,2449.0,秒杀价,7.5,厚7.5cm,False,False,
R007-S015,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚10cm【85D软硬适中】A类抑菌面料,2130.1,2960.0,秒杀价,10.0,厚10cm,False,False,同商品SKU名+价格重复（空白归一）
R007-S016,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚10cm【95D护脊撑腰】A类抑菌面料,2231.25,3100.0,秒杀价,10.0,厚10cm,False,False,
R007-S017,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚15cm【85D软硬适中】A类抑菌面料,3190.05,4427.0,秒杀价,15.0,厚15cm,False,False,同商品SKU名+价格重复（空白归一）
R007-S018,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚15cm【95D护脊撑腰】A类抑菌面料,3550.45,4925.0,秒杀价,15.0,厚15cm,False,False,同商品SKU名+价格重复（空白归一）
R007-S019,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚5cm【85D软硬适中】泰国原产一体成型工艺,1550.4,2157.0,秒杀价,5.0,厚5cm,False,False,
R007-S020,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚5cm【95D护脊撑腰】泰国原产一体成型工艺,1670.25,2323.0,秒杀价,5.0,厚5cm,False,False,
R007-S021,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚7.5cm【85D软硬适中】泰国原产一体成型工艺,2090.15,2904.0,秒杀价,7.5,厚7.5cm,False,False,
R007-S022,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚7.5cm【95D护脊撑腰】泰国原产一体成型工艺,2300.1,3195.0,秒杀价,7.5,厚7.5cm,False,False,
R007-S023,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚10cm【85D软硬适中】泰国原产一体成型工艺,2720.0,3776.0,秒杀价,10.0,厚10cm,False,False,
R007-S024,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,【云端3.0旗舰款】厚10cm【95D护脊撑腰】泰国原产一体成型工艺,2929.95,4067.0,秒杀价,10.0,厚10cm,False,False,
