排名,店铺,商品标题,最低价,最高价,商品中位价,商品均价,SKU数,商品链接
60,金橡树官方旗舰店,【泰享】金橡树泰国进口乳胶床垫天然橡胶家用榻榻米0胶水薄垫子,1569.95,3949.95,2555.1,2679.27,12,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=559827776917
61,喜临门官方旗舰店,【伊菲】喜临门学生硬垫椰棕A类面料乳胶加硬神器榻榻米薄床垫,1061.65,1274.15,1125.4,1146.65,4,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=18842339279
62,蓝盒子官方旗舰店,蓝盒子方块床垫独立袋装弹簧记忆棉柔中带硬家用卧室双人厚席梦思,4997.15,4997.15,4997.15,4997.15,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=917436417979
63,Serta舒达官方旗舰店,Serta/舒达 杜克护脊偏硬弹簧床垫双人主卧软硬双面独立袋静音垫,4332.7,7733.17,4970.89,5678.92,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=587017600971
64,宝康杰家居旗舰店,天然椰棕榈床垫硬垫子儿童护脊乳胶黄麻棕垫床家用卧室榻榻米定制,259.11,1150.9,472.6,527.67,31,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=968349160470
65,亚朵星球官方旗舰店,亚朵星球深睡控温床垫护脊软硬适中人体工学支撑独立袋装弹簧卧室,5499.0,5499.0,5499.0,5499.0,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=755867221660
66,乐吾手工床垫企业店,【羊毛】乐吾手工床垫阿正整床无胶水独立袋弹簧席梦思家用双人垫,4618.0,6800.0,5058.0,5383.5,4,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=854197101651
67,香港海马家具国际集团有限公司,补贴15%禧海马弹簧椰棕席梦床垫十大名官方牌思乳胶软垫家用卧室,581.4,2485.4,1232.5,1398.44,17,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=532699395603
68,Royal vip泰国乳胶总部,泰国乳胶床垫正品官方旗舰店家用10cm厚5学生宿舍软全橡胶薄垫子,153.0,1325.0,576.0,671.1,40,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=775750528964
69,喜临门官方旗舰店,【净眠M60+】喜临门官方正品线下同款厚席梦思0胶可拆洗弹簧床垫,4079.15,8329.15,6884.15,6338.73,12,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=901610879296
70,yarges悠梦思旗舰店,悠梦思乳胶床垫独立弹簧1.5米1.8五星酒店席梦思软硬两用厚款定制,682.55,1078.65,906.95,905.92,19,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=746683178170
71,金可儿旗舰店,【李佳琦直播间生活节】金可儿偏硬乳胶床垫护脊3.0AIR-S双面版,4929.15,4929.15,4929.15,4929.15,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1040968732168
72,铂马仕旗舰店,铂马仕独立弹簧床垫乳胶席梦思软垫椰棕垫护脊偏硬家用双人1.8米,1048.05,1722.95,1414.82,1383.16,16,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=45590433293
73,峻泽旗舰店,床垫加硬神器天然黄麻护腰护脊席梦思软床垫变硬垫子母婴超薄家用,240.22,439.42,308.22,322.36,28,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=953047458999
74,韩悦旗舰店,天然椰棕棕榈床垫家用卧室180x200护腰护脊硬垫名牌儿童折叠床垫,147.58,644.19,405.04,392.57,62,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=837933218269
75,栖作官方旗舰店,栖作旷野2代床垫政府补贴0胶水弹簧硅胶海绵可洗软垫家用软硬适中,3951.65,3951.65,3951.65,3951.65,2,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=734639776446
76,梦百合官方旗舰店,梦百合快充薄垫学生宿舍记忆棉床垫租房专用床垫子单人褥子榻榻米,967.3,1256.3,1103.3,1108.97,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=898040606679
77,丝涟旗舰店,【新品】Sealy丝涟揽月奢享系列升级美姿弹簧乳胶床垫舒适席梦思,5990.8,21189.0,8590.1,10618.89,13,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=522648528552
78,梦百合官方旗舰店,【五星酒店同款】梦百合YLCD护脊释压记忆棉弹簧床垫全家用席梦思,2091.0,4820.35,3253.68,3259.98,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=643525164031
